"ID,TIPO_REQUISICAO,MOMENTO,TIMESTAMP"
1002,POST,BEGIN,1511115377783669428
1002,POST,END,1511115377820274517
1003,POST,BEGIN,1511115378159553889
1003,POST,END,1511115378186048128
1004,POST,BEGIN,1511115378524076223
1004,POST,END,1511115378542144378
1005,POST,BEGIN,1511115378881197601
1005,POST,END,1511115378913790028
1006,POST,BEGIN,1511115379252113505
1006,POST,END,1511115379274380685
1007,POST,BEGIN,1511115379612614407
1007,POST,END,1511115379632956994
1008,POST,BEGIN,1511115379969611568
1008,POST,END,1511115379988939878
1009,POST,BEGIN,1511115380328839027
1009,POST,END,1511115380365599679
1010,POST,BEGIN,1511115380705756386
1010,POST,END,1511115380733115933
1011,POST,BEGIN,1511115381070131966
1011,POST,END,1511115381096129279
1012,POST,BEGIN,1511115381435898435
1012,POST,END,1511115381467902482
1013,POST,BEGIN,1511115381807965329
1013,POST,END,1511115381829694618
1014,POST,BEGIN,1511115382166429259
1014,POST,END,1511115382183164733
1015,POST,BEGIN,1511115382523289246
1015,POST,END,1511115382556474093
1016,POST,BEGIN,1511115382895073223
1016,POST,END,1511115382928449083
1017,POST,BEGIN,1511115383268649615
1017,POST,END,1511115383288883828
1018,POST,BEGIN,1511115383628626352
1018,POST,END,1511115383652506798
1019,POST,BEGIN,1511115383989529292
1019,POST,END,1511115384003857095
1020,POST,BEGIN,1511115384343617316
1020,POST,END,1511115384367062333
1021,POST,BEGIN,1511115384706462379
1021,POST,END,1511115384731374710
1022,POST,BEGIN,1511115385067871512
1022,POST,END,1511115385082696653
1023,POST,BEGIN,1511115385419223051
1023,POST,END,1511115385443417040
1024,POST,BEGIN,1511115385780580532
1024,POST,END,1511115385801414219
1025,POST,BEGIN,1511115386138418275
1025,POST,END,1511115386153176682
1026,POST,BEGIN,1511115386489727680
1026,POST,END,1511115386512110341
1027,POST,BEGIN,1511115386848698577
1027,POST,END,1511115386863610437
1028,POST,BEGIN,1511115387199993705
1028,POST,END,1511115387215917307
1029,POST,BEGIN,1511115387552767113
1029,POST,END,1511115387570082881
1030,POST,BEGIN,1511115387908633669
1030,POST,END,1511115387952343104
1031,POST,BEGIN,1511115388290661665
